"country","happiness_score2021","gpd_per_capita2021","social_support2021","healthy_life_expectancy2021","freedom_to_make_life_choices2021","latitude","longtitude"
"Afghanistan",2.523,0.37,0,0.126,0,33,65
"Albania",5.117,1.008,0.529,0.646,0.491,41,20
"Algeria",4.887,0.946,0.765,0.552,0.119,28,3
"Argentina",5.929,1.162,0.98,0.646,0.544,-34,-64
"Armenia",5.283,0.996,0.758,0.585,0.54,40,45
"Australia",7.183,1.453,1.076,0.801,0.647,-27,133
"Austria",7.268,1.492,1.062,0.782,0.64,47.3333,13.3333
"Azerbaijan",5.171,1.025,0.841,0.541,0.526,40.5,47.5
"Bahrain",6.647,1.409,0.899,0.662,0.661,26,50.55
"Bangladesh",5.025,0.635,0.52,0.514,0.603,24,90
"Belarus",5.534,1.124,1.007,0.56,0.326,53,28
"Belgium",6.834,1.463,0.998,0.747,0.489,50.8333,4
"Benin",5.045,0.507,0.058,0.196,0.457,9.5,2.25
"Bosnia and Herzegovina",5.813,1.032,0.919,0.618,0.395,44,18
"Botswana",3.467,1.099,0.724,0.34,0.539,-22,24
"Brazil",6.33,1.028,0.944,0.571,0.514,-10,-55
"Bulgaria",5.266,1.181,1.055,0.583,0.494,43,25
"Burkina Faso",4.834,0.364,0.472,0.179,0.381,13,-2
"Burundi",3.775,0,0.062,0.155,0.298,-3.5,30
"Cambodia",4.83,0.603,0.68,0.426,0.702,13,105
"Cameroon",5.142,0.543,0.556,0.159,0.425,6,12
"Canada",7.103,1.447,1.044,0.798,0.648,60,-95
"Chad",4.355,0.255,0.353,0,0.24,15,19
"Chile",6.172,1.2,0.946,0.678,0.438,-30,-71
"China",5.339,1.061,0.785,0.665,0.636,35,105
"Colombia",6.012,1.021,0.866,0.615,0.554,4,-72
"Comoros",4.289,0.488,0.367,0.279,0.202,-12.1667,44.25
"Costa Rica",7.069,1.134,0.966,0.722,0.673,10,-84
"Croatia",5.882,1.251,1.039,0.703,0.453,45.1667,15.5
"Cyprus",6.223,1.377,0.765,0.801,0.464,35,33
"Czech Republic",6.965,1.37,1.09,0.703,0.58,49.75,15.5
"Denmark",7.62,1.502,1.108,0.763,0.686,56,10
"Dominican Republic",5.545,1.106,0.879,0.555,0.581,19,-70.6667
"Ecuador",5.764,0.935,0.806,0.64,0.56,-2,-77.5
"Egypt",4.283,0.954,0.647,0.426,0.446,27,30
"El Salvador",6.061,0.845,0.675,0.565,0.615,13.8333,-88.9167
"Estonia",6.189,1.344,1.079,0.64,0.641,59,26
"Ethiopia",4.275,0.37,0.679,0.331,0.451,8,38
"Finland",7.842,1.446,1.106,0.741,0.691,64,26
"France",6.69,1.421,1.081,0.804,0.536,46,2
"Gabon",4.852,1.037,0.707,0.362,0.424,-1,11.75
"Gambia",5.051,0.367,0.511,0.21,0.384,13.4667,-16.5667
"Georgia",4.891,1.03,0.47,0.498,0.488,42,43.5
"Germany",7.155,1.48,0.993,0.757,0.6,51,9
"Ghana",5.088,0.68,0.595,0.287,0.517,8,-2
"Greece",5.723,1.273,0.811,0.76,0.243,39,22
"Guatemala",6.435,0.845,0.79,0.519,0.638,15.5,-90.25
"Guinea",4.984,0.42,0.399,0.206,0.384,11,-10
"Haiti",3.615,0.294,0.173,0.227,0.257,19,-72.4167
"Honduras",5.919,0.703,0.787,0.593,0.578,15,-86.5
"Hungary",5.992,1.301,1.083,0.615,0.454,47,20
"Iceland",7.554,1.482,1.172,0.772,0.698,65,-18
"India",3.819,0.741,0.316,0.383,0.622,20,77
"Indonesia",5.345,0.954,0.786,0.433,0.598,-5,120
"Iraq",4.854,0.91,0.638,0.381,0.302,33,44
"Ireland",7.085,1.644,1.092,0.753,0.606,53,-8
"Israel",7.157,1.376,1.074,0.788,0.509,31.5,34.75
"Italy",6.483,1.393,0.94,0.798,0.379,42.8333,12.8333
"Jamaica",6.309,0.891,0.932,0.599,0.618,18.25,-77.5
"Japan",5.94,1.389,0.949,0.838,0.504,36,138
"Jordan",4.395,0.89,0.685,0.583,0.455,31,36
"Kazakhstan",6.152,1.23,1.103,0.527,0.573,48,68
"Kenya",4.607,0.603,0.508,0.385,0.483,1,38
"Kuwait",6.106,1.461,0.857,0.58,0.591,29.3375,47.6581
"Kyrgyzstan",5.744,0.665,0.971,0.501,0.673,41,75
"Latvia",6.032,1.285,1.047,0.587,0.405,57,25
"Lebanon",4.584,1.045,0.868,0.595,0.175,33.8333,35.8333
"Lesotho",3.512,0.451,0.731,0.007,0.405,-29.5,28.5
"Liberia",4.625,0.228,0.58,0.253,0.43,6.5,-9.5
"Lithuania",6.255,1.35,1.065,0.612,0.476,56,24
"Luxembourg",7.324,1.751,1.003,0.76,0.639,49.75,6.1667
"Madagascar",4.208,0.266,0.503,0.341,0.207,-20,47
"Malawi",3.6,0.113,0.168,0.298,0.484,-13.5,34
"Malaysia",5.384,1.259,0.797,0.587,0.624,2.5,112.5
"Maldives",5.198,1.115,1.015,0.697,0.575,3.25,73
"Mali",4.723,0.387,0.59,0.11,0.384,17,-4
"Malta",6.602,1.411,1.055,0.747,0.664,35.8333,14.5833
